,id,name,lat,lng,checkinsCount,tipCount,usersCount
9571,4ad79cddf964a520c60c21e3,Sainsbury's,51.534083487367624,-0.10698795318603516,3464,11,987
9572,4ac518c4f964a52073a420e3,The Angelic,51.53475086862483,-0.10696649551391602,2715,39,1710
9573,4ad74066f964a5201c0921e3,Waitrose,51.53386324940544,-0.1066446304321289,1924,6,594
9574,4bc1ca70920eb713bb211b2c,'Round Midnight,51.53373644524688,-0.10720252990722656,1002,21,677
9575,4bbc8321afe1b7134672304b,Wagamama,51.534216964401864,-0.10664999485015869,1939,24,1247
9576,4ad9c332f964a520ab1a21e3,N1 Centre,51.53399005321076,-0.10606527328491211,2627,8,848
9577,4bc76e872f94d13a36ea117f,O2 Academy Islington,51.53407013964267,-0.10619401931762695,3450,28,2225
9578,512776e7e4b048ef91ec198c,Gourmet Burger Kitchen,51.53411,-0.106663,324,6,240
9579,4ebc8058f9f48676cf72dc0c,The Islington,51.53445722207716,-0.10869383811950684,318,8,260
9580,4c84af4374d7b60c321695d8,McDonald's,51.533654124916666,-0.1084478921248478,685,5,345
9581,4ac518c4f964a52072a420e3,Tinderbox Espresso Bar,51.53404077094123,-0.10583316861646481,2541,59,1119
9582,4ae2c0bcf964a5206a8f21e3,Marks & Spencer,51.53348950981908,-0.10683774948120117,1194,5,407
9583,4af81593f964a520e90a22e3,hmv,51.53403009644432,-0.10668754577636719,538,4,303
9584,4b6dce65f964a52097912ce3,The Glass Works (Wetherspoon),51.533835,-0.106288,1044,5,634
9585,4f366ae3e4b0653d498dc2d3,Bill's,51.53279113769531,-0.1069670021533966,998,22,659
9586,4edba2bef790c045472b749d,Itsu,51.534111802328226,-0.10637030984657651,943,8,423
9587,4c653793e0c4be9a4e798758,Delhi Grill,51.533498329625836,-0.10924034724769817,569,22,336
9588,4bf6794994b2a5936d77adee,Thai-An,51.53354491958959,-0.1087870457304513,280,7,92
9589,4c6f1150d274b60c438ad50d,H&M,51.53414755266471,-0.10657135466000806,515,4,312
9590,4b87a9a1f964a5203ac631e3,Euphorium Bakery,51.533599,-0.10878,497,2,224
